Site,Level,Lab. Reference,Age,Standard Deviation,Sample type,Method,Phase attribution,Region,Reference,Accepted,Notes
"Mirón, El",126,GX-24471,18950,350,Bone,C14,Upper Solutrean,Northern Iberia,"Straus, 2002",Yes,
Xemeneia,,NA,18950,44,Charcoal,AMS,Solutrense superior,Mediterranean,,Yes,
Lapa do Picareiro,T,Wk-37655,18957,79,Bone,AMS,Proto-Solutrean,Portugal,Haws et al. 2019,Yes,
Arlampe,Superficial,Beta-313142,18960,80,,,,,,No,
"Mirón, El",125,GX-24470,18980,360,Bone,C14,Upper Solutrean,Northern Iberia,"Straus, 2002",Yes,
"Zafarraya, Boquete",121m (UC7) P9 n° 16,OxA-7115,18980,260,Charcoal,AMS,Solutrense,Mediterranean,,No,No context
Amalda,V,I-11663,19000,340,?,C14,Gravettian,Northern Iberia,"Altuna, 1990",No,"No (Soto-Barreiro, 2003)"
"Caldas, Las",18 (Topera),Ly-2429,19000,280,Bone,C14,Middle Solutrean,Northern Iberia,"Corchón Rodríguez, 1999",Yes,
Antoliñako Koba,Lmc,Beta-230284,19020,120,Bone,AMS,Upper Solutrean,Northern Iberia,"Aguirre, 2013",Yes,
Parpallo,PT-16,OxA-22651,19020,100,Bone,AMS,Solutrense,Mediterranean,"Aura et al., 2012",Yes,
CPM II,Inferior,ICEN-692,19030,440,Charcoal,C14,Final Gravettian/Proto-Solutrean,Portugal,Zilhão 1997,No,
"Caldas, Las",12t (top pasillo),Ly-2425,19030,320,Bone,C14,Middle Solutrean,Northern Iberia,"Corchón Rodríguez, 1999",Yes,
Altamira,7med,GrA-30325,19060,90,Bone,AMS,Upper Solutrean,Northern Iberia,"Lasheras et al., 2012",Yes,
Fuente del Trucho,LBB-UA1,Beta-72393,19060,80,Bone,AMS,"?Mousterian,",Mediterranean,"Utrilla, et al., 2007",No,Anomalus
Fuente del Trucho,UA1 0.75-0.95,Beta-72393,19060,80,Bone,AMS,Solutrean (proto?),Northern Iberia,"Utrilla, 2010",Yes,
Lapa do Picareiro,R,UGAMS-23719,19090,50,Charcoal,AMS,Solutrean,Portugal,Haws et al. 2019,Yes,
Lapa do Picareiro,R,UGAMS-03415,19100,70,Charcoal,AMS,Solutrean,Portugal,Haws et al. 2019,Yes,
Cueto de la Mina,E,Ua-3586,19110,205,Bone,C14,Upper Solutrean,Northern Iberia,"Rasilla y Llana, 1994",No,"Problematic (Muñoz Ibánez, 2000:38)"
"Ambrosio, Cueva de",IICapa4,GifA-II.4,19110,90,Charcoal,AMS,Solutrense / SG,Mediterranean,"Ripoll et al., 2004",Yes,
"Castillo, El",10,GifA-98154,19140,230,Charcoal,AMS,Middle/Upper Solutrean,Northern Iberia,"González-Sáinz, 2007",Yes,
"Ambrosio, Cueva de",IICapa2,GifA-II.2,19170,190,Charcoal,AMS,Solutrense / SG,Mediterranean,"Ripoll et al., 2004",Yes,
Finca Doña Martina,"4. H6-38

",VERA-5101bHS,19180,90,Charcoal,AMS,Solutrense (superior),Mediterranean,"Zilhao et al., 2017",Yes,
CPM IIIS,Inferior,ICEN-691,19220,280,Charcoal,C14,Final Gravettian/Proto-Solutrean,Portugal,Zilhão 1997,No,
Salemas,,ICEN-385,19220,300,,C14,Solutrean,Portugal,"Córchon and Cardoso, 2005",Yes,
Aitzbitarte III,III,Ua-24964,19230,230,Bone,AMS,Gravettian,Northern Iberia,"Altuna, 2011",Yes,
"Mirón, El",127,UG-7216,19230,50,Charcoal,AMS,Solutrean,Northern Iberia,"Straus et al., 2013",Yes,
Ardales,Z2..14,COL-1639.1.1,19239,126,Charcoal,AMS,Solutrense?,Mediterranean,"Ramos et al., 2019",Yes,
La Boja,OH7,VERA-5365-2,19240,90,Charcoal,AMS,Solutrense (superior),Mediterranean,"Zilhao et al., 2017",Yes,
"Ambrosio, Cueva de",II genérico,Gif-9883,19250,70,Charcoal,C14,Solutrense / SG,Mediterranean,"Ripoll et al., 2004",Yes,
"Castillo, El",10,Beta-242619,19260,90,Bone,AMS,Middle/Upper Solutrean,Northern Iberia,"Bernaldo de Quirós et al., 2015",Yes,
Antoliñako Koba,Lmc,GrN-23785,19280,120,Bone,C14,Upper Solutrean,Northern Iberia,"Aguirre, 2013",Yes,
Lapa do Picareiro,S,Beta-234371,19290,80,Charcoal,AMS,Solutrean,Portugal,Haws et al. 2019,Yes,
"Ambrosio, Cueva de",II.6,GifA-II.6,19300,190,Charcoal,AMS,Solutrense / SG,Mediterranean,"Ripoll et al., 2004",Yes,
Praileaitz,V,GrA-24687,19330,150,?,AMS,Solutrean,Northern Iberia,Peñalver et al 2017,Yes,
Lezetxiki,IIIa,I-6144,19340,780,Bone,C14,Aurignacian,Northern Iberia,"Altuna, 1972",Yes,
Malladetes,II,KN-1/915,19370,105,Charcoal,,Solutrense,Mediterranean,"Fortea & Jordá, 1976",Yes,
"Caldas, Las",9 (pasillo),Ly-2424,19390,260,Bone,C14,Upper Solutrean,Northern Iberia,"Corchón Rodríguez, 1999",Yes,
La Boja,OH7,VERA-5365,19390,100,Charcoal,AMS,Solutrense (superior),Mediterranean,"Zilhao et al., 2017",Yes,
La Boja,OH7,VERA-5365_av,19390,100,Charcoal,AMS,Solutrense (superior),Mediterranean,"Zilhao et al., 2017",Yes,
Aitzbitarte III,III,Ua-37960,19400,210,Bone,AMS,Gravettian,Northern Iberia,"Altuna, 2011",Yes,
"Caldas, Las",12b (base pasillo),Ly-2426,19480,260,Bone,C14,Middle Solutrean,Northern Iberia,"Corchón Rodríguez, 1999",Yes,
Cova Gran de Santa Linya,S1E,Beta-195429,19500,90,Sediment,AMS,EUP?,Mediterranean,Mora R. e.a. 2011.,Yes,No atribución
"Caldas, Las",16 (Topera),Ly-2428,19510,330,Bone,C14,Middle Solutrean,Northern Iberia,"Corchón Rodríguez, 1999",Yes,
